raceId	gender	itemSlotId	itemDisplayId	label00	value00	label01	value01
1	0	28	715	24	12	4	5
1	0	28	716	23	13	4	5
1	0	28	723	24	10	4	7
0	0	28	724	3	14	4	7
1	0	28	725	23	13	4	7
0	0	28	276	3	7	4	3
1	0	28	277	24	6	4	3
1	0	28	278	24	8	4	3
1	0	28	279	24	9	4	3
1	0	28	717	24	10	4	3
1	0	28	718	24	12	4	3
1	0	28	719	23	13	4	3
1	0	28	267	24	5	4	4
0	0	28	280	3	7	4	4
1	0	28	281	24	6	4	4
1	0	28	282	24	8	4	4
1	0	28	283	24	9	4	4
1	0	28	720	24	10	4	4
1	0	28	721	24	12	4	4
1	0	28	722	23	13	4	4
0	0	28	286	3	9	4	8
0	0	28	243	3	10	4	8
0	0	28	726	3	19	4	1
0	0	28	727	3	20	4	1
1	0	28	728	23	3	4	1
0	0	28	729	3	22	4	1
1	0	28	730	23	4	4	1
0	0	28	731	3	24	4	1
0	0	28	732	3	25	4	1
1	0	28	733	24	7	4	1
1	0	28	734	23	5	4	1
1	0	28	735	24	11	4	1
1	0	28	736	23	9	4	1
1	0	28	737	23	12	4	1
0	0	28	738	3	29	4	1
1	0	28	739	24	15	4	1
1	0	28	739	23	15	4	1
0	0	28	741	3	34	4	1
1	0	28	747	23	10	4	2
1	0	28	748	24	13	4	2
1	0	28	749	23	11	4	2
1	0	28	750	23	12	4	2
1	0	28	751	23	13	4	2
1	0	28	753	23	7	4	7
1	0	28	754	23	8	4	7
1	0	28	755	24	12	4	7
1	0	28	756	23	10	4	7
1	0	28	757	24	13	4	7
1	0	28	758	23	11	4	7
0	0	28	778	3	25	4	7
1	0	28	759	23	12	4	7
0	0	28	771	3	25	4	2
0	0	28	766	3	19	4	2
0	0	28	767	3	20	4	2
1	0	28	765	23	3	4	2
0	0	28	768	3	22	4	2
0	0	28	770	3	24	4	2
1	0	28	769	23	4	4	2
1	0	28	772	24	7	4	2
1	0	28	773	23	5	4	2
1	0	28	774	24	11	4	2
1	0	28	775	23	9	4	2
0	0	28	776	3	29	4	2
1	0	28	762	24	15	4	2
1	0	28	762	23	15	4	2
0	0	28	764	3	34	4	2
1	0	28	789	23	7	4	5
1	0	28	790	23	8	4	5
1	0	28	792	23	10	4	5
1	0	28	793	24	13	4	5
1	0	28	794	23	11	4	5
1	0	28	807	23	12	4	5
0	0	28	796	3	25	4	5
0	0	28	797	3	19	4	5
0	0	28	798	3	20	4	5
1	0	28	799	23	3	4	5
0	0	28	800	3	22	4	5
1	0	28	801	23	4	4	5
0	0	28	802	3	24	4	5
1	0	28	803	24	7	4	5
1	0	28	804	23	5	4	5
1	0	28	805	24	11	4	5
1	0	28	806	23	9	4	5
0	0	28	808	3	29	4	5
1	0	28	832	24	15	4	5
1	0	28	832	23	15	4	5
0	0	28	834	3	34	4	5
1	0	28	809	23	7	4	6
1	0	28	810	23	8	4	6
1	0	28	812	23	10	4	6
1	0	28	813	24	13	4	6
1	0	28	814	23	11	4	6
0	0	28	815	3	18	4	6
0	0	28	816	3	25	4	6
0	0	28	817	3	19	4	6
0	0	28	818	3	20	4	6
1	0	28	819	23	3	4	6
0	0	28	820	3	22	4	6
1	0	28	821	23	4	4	6
0	0	28	822	3	24	4	6
1	0	28	823	24	7	4	6
1	0	28	824	23	5	4	6
1	0	28	825	24	11	4	6
1	0	28	826	23	9	4	6
1	0	28	827	23	12	4	6
0	0	28	828	3	29	4	6
1	0	28	829	24	15	4	6
1	0	28	829	23	15	4	6
0	0	28	831	3	34	4	6
1	0	28	835	23	7	4	3
1	0	28	836	23	8	4	3
1	0	28	838	23	10	4	3
1	0	28	839	24	13	4	3
1	0	28	840	23	11	4	3
0	0	28	842	3	25	4	3
0	0	28	843	3	19	4	3
0	0	28	844	3	20	4	3
1	0	28	845	23	3	4	3
0	0	28	846	3	22	4	3
1	0	28	847	23	4	4	3
0	0	28	848	3	24	4	3
1	0	28	849	24	7	4	3
1	0	28	850	23	5	4	3
1	0	28	851	24	11	4	3
1	0	28	852	23	9	4	3
1	0	28	853	23	12	4	3
0	0	28	854	3	29	4	3
1	0	28	855	24	15	4	3
1	0	28	855	23	15	4	3
0	0	28	857	3	34	4	3
1	0	28	858	23	7	4	4
1	0	28	859	23	8	4	4
1	0	28	860	23	10	4	4
1	0	28	861	24	13	4	4
1	0	28	862	23	11	4	4
0	0	28	863	3	25	4	4
0	0	28	864	3	19	4	4
0	0	28	865	3	20	4	4
1	0	28	867	23	4	4	4
0	0	28	868	3	24	4	4
1	0	28	869	24	7	4	4
1	0	28	870	23	5	4	4
1	0	28	871	24	11	4	4
1	0	28	872	23	9	4	4
1	0	28	873	23	12	4	4
0	0	28	874	3	29	4	4
0	0	28	866	3	22	4	4
1	0	28	878	23	3	4	4
1	0	28	875	24	15	4	4
1	0	28	875	23	15	4	4
0	0	28	877	3	34	4	4
0	0	28	779	3	19	4	7
0	0	28	780	3	20	4	7
1	0	28	777	23	3	4	7
0	0	28	783	3	22	4	7
1	0	28	781	23	4	4	7
0	0	28	782	3	24	4	7
1	0	28	784	24	7	4	7
1	0	28	785	23	5	4	7
1	0	28	786	24	11	4	7
1	0	28	787	23	9	4	7
0	0	28	788	3	29	4	7
3	0	24	879	2	2	0	0
3	0	24	880	2	3	0	0
3	0	24	881	2	4	0	0
3	0	24	882	2	5	0	0
3	0	24	883	2	6	0	0
3	0	24	884	2	7	0	0
3	0	24	885	2	8	0	0
3	0	25	886	1	1	2	2
3	0	25	887	1	2	2	2
3	0	25	888	1	3	2	2
3	0	25	889	1	4	2	2
3	0	25	890	1	5	2	2
3	0	25	891	1	6	2	2
3	0	25	892	1	7	2	2
3	0	25	893	1	8	2	2
3	0	25	894	1	9	2	2
3	0	25	895	1	1	2	3
3	0	25	896	1	2	2	3
3	0	25	897	1	3	2	3
3	0	25	898	1	4	2	3
3	0	25	899	1	5	2	3
3	0	25	900	1	6	2	3
3	0	25	901	1	7	2	3
3	0	25	902	1	8	2	3
3	0	25	903	1	9	2	3
3	0	25	904	1	1	2	4
3	0	25	905	1	2	2	4
3	0	25	906	1	3	2	4
3	0	25	907	1	4	2	4
3	0	25	908	1	5	2	4
3	0	25	909	1	6	2	4
3	0	25	910	1	7	2	4
3	0	25	911	1	8	2	4
3	0	25	912	1	9	2	4
3	0	25	913	1	1	2	5
3	0	25	914	1	2	2	5
3	0	25	915	1	3	2	5
3	0	25	916	1	4	2	5
3	0	25	917	1	5	2	5
3	0	25	918	1	6	2	5
3	0	25	919	1	7	2	5
3	0	25	920	1	8	2	5
3	0	25	921	1	9	2	5
3	0	25	922	1	1	2	6
3	0	25	923	1	2	2	6
3	0	25	924	1	3	2	6
3	0	25	925	1	4	2	6
3	0	25	926	1	5	2	6
3	0	25	927	1	6	2	6
3	0	25	928	1	7	2	6
3	0	25	929	1	8	2	6
3	0	25	930	1	9	2	6
3	0	25	931	1	1	2	7
3	0	25	932	1	2	2	7
3	0	25	933	1	3	2	7
3	0	25	934	1	4	2	7
3	0	25	935	1	5	2	7
3	0	25	936	1	6	2	7
3	0	25	937	1	7	2	7
3	0	25	938	1	8	2	7
3	0	25	939	1	9	2	7
3	0	25	940	1	1	2	8
3	0	25	941	1	2	2	8
3	0	25	942	1	3	2	8
3	0	25	943	1	4	2	8
3	0	25	944	1	5	2	8
3	0	25	945	1	6	2	8
3	0	25	946	1	7	2	8
3	0	25	947	1	8	2	8
3	0	25	948	1	9	2	8
3	0	28	949	3	2	2	4
3	0	28	950	3	3	2	4
3	0	28	951	3	4	2	4
3	0	28	952	3	5	2	4
3	0	28	953	3	6	2	4
3	0	28	954	3	7	2	4
3	0	28	955	3	8	2	4
3	0	28	956	3	9	2	4
3	0	28	957	3	1	2	4
3	0	28	958	3	1	2	2
3	0	28	959	3	2	2	2
3	0	28	960	3	3	2	2
3	0	28	961	3	4	2	2
3	0	28	962	3	5	2	2
3	0	28	963	3	6	2	2
3	0	28	964	3	7	2	2
3	0	28	965	3	8	2	2
3	0	28	966	3	9	2	2
3	0	28	967	3	1	2	3
3	0	28	968	3	2	2	3
3	0	28	969	3	3	2	3
3	0	28	970	3	4	2	3
3	0	28	971	3	5	2	3
3	0	28	972	3	6	2	3
3	0	28	973	3	7	2	3
3	0	28	974	3	8	2	3
3	0	28	975	3	9	2	3
3	0	28	976	3	1	2	5
3	0	28	977	3	2	2	5
3	0	28	978	3	3	2	5
3	0	28	979	3	4	2	5
3	0	28	980	3	5	2	5
3	0	28	981	3	6	2	5
3	0	28	982	3	7	2	5
3	0	28	983	3	8	2	5
3	0	28	984	3	9	2	5
3	0	28	985	3	1	2	6
3	0	28	986	3	2	2	6
3	0	28	987	3	3	2	6
3	0	28	988	3	4	2	6
3	0	28	989	3	5	2	6
3	0	28	990	3	6	2	6
3	0	28	991	3	7	2	6
3	0	28	992	3	8	2	6
3	0	28	993	3	9	2	6
3	0	28	994	3	1	2	1
3	0	28	995	3	2	2	1
3	0	28	996	3	3	2	1
3	0	28	997	3	4	2	1
3	0	28	998	3	5	2	1
3	0	28	999	3	6	2	1
3	0	28	1000	3	7	2	1
3	0	28	1001	3	8	2	1
3	0	28	1002	3	9	2	1
3	0	28	1003	3	1	2	7
3	0	28	1004	3	2	2	7
3	0	28	1005	3	3	2	7
3	0	28	1006	3	4	2	7
3	0	28	1007	3	5	2	7
3	0	28	1008	3	6	2	7
3	0	28	1009	3	7	2	7
3	0	28	1010	3	8	2	7
3	0	28	1011	3	9	2	7
3	0	28	1012	3	1	2	8
3	0	28	1013	3	2	2	8
3	0	28	1014	3	3	2	8
3	0	28	1015	3	4	2	8
3	0	28	1016	3	5	2	8
3	0	28	1017	3	6	2	8
3	0	28	1018	3	7	2	8
3	0	28	1019	3	8	2	8
1	0	25	1021	22	1	2	4
1	0	25	1022	22	2	2	4
1	0	25	1023	21	2	2	4
1	0	25	1024	22	3	2	4
1	0	25	1025	22	4	2	4
1	0	25	1026	22	5	2	4
1	0	25	1027	22	6	2	4
1	0	25	1028	21	6	2	4
1	0	25	1029	22	1	2	5
1	0	25	1030	22	2	2	5
1	0	25	1031	21	2	2	5
1	0	25	1032	22	3	2	5
1	0	25	1033	22	4	2	5
1	0	25	1034	22	5	2	5
1	0	25	1035	22	6	2	5
1	0	25	1036	21	6	2	5
1	0	25	1037	22	1	2	6
1	0	25	1038	22	2	2	6
1	0	25	1039	21	2	2	6
1	0	25	1040	22	3	2	6
1	0	25	1041	22	4	2	6
1	0	25	1042	22	5	2	6
1	0	25	1043	22	6	2	6
1	0	25	1044	21	6	2	6
1	0	25	1045	22	1	2	7
1	0	25	1046	22	2	2	7
1	0	25	1047	21	2	2	7
1	0	25	1048	22	3	2	7
1	0	25	1049	22	4	2	7
1	0	25	1050	22	5	2	7
1	0	25	1051	22	6	2	7
1	0	25	1052	21	6	2	7
1	0	24	1053	2	4	0	0
1	0	24	1054	2	5	0	0
1	0	24	1055	2	6	0	0
1	0	24	1056	2	7	0	0
3	0	39	1068	5	10	2	1
3	0	39	1069	5	3	2	1
3	0	39	1070	5	4	2	1
3	0	39	1071	5	5	2	1
0	0	39	1072	5	2	2	1
0	0	39	1073	1	6	2	1
3	0	39	1074	5	10	2	2
3	0	39	1075	5	2	14	1
3	0	39	1076	5	3	2	2
3	0	39	1077	5	4	2	2
3	0	39	1078	5	5	2	2
0	0	39	1079	5	6	2	2
3	0	39	1080	5	10	2	3
3	0	39	1081	5	2	14	2
3	0	39	1082	5	3	2	3
3	0	39	1083	5	4	2	3
3	0	39	1084	5	5	2	3
0	0	39	1085	5	6	2	3
3	0	39	1086	5	10	2	4
0	0	39	1087	5	2	14	3
3	0	39	1088	5	3	2	4
3	0	39	1089	5	4	2	4
3	0	39	1090	5	5	2	4
3	0	39	1091	5	6	13	1
3	0	39	1092	5	10	2	5
0	0	39	1093	5	2	14	4
3	0	39	1094	5	3	2	5
3	0	39	1095	5	4	2	5
3	0	39	1096	5	5	2	5
3	0	39	1097	5	6	13	2
3	0	39	1098	5	10	2	6
3	0	39	1099	5	2	14	5
3	0	39	1100	5	3	2	6
3	0	39	1101	5	4	2	6
3	0	39	1102	5	5	2	6
3	0	39	1103	5	6	13	3
3	0	39	1104	5	10	2	7
3	0	39	1105	5	2	14	6
3	0	39	1106	5	3	2	7
3	0	39	1107	5	4	2	7
3	0	39	1108	5	5	2	7
3	0	39	1109	5	6	13	4
3	0	39	1110	5	10	2	8
3	0	39	1111	5	2	14	7
3	0	39	1112	5	3	2	8
3	0	39	1113	5	4	2	8
3	0	39	1114	5	5	2	8
0	0	39	1115	5	6	2	8
3	0	39	1116	5	2	14	8
3	0	39	1117	5	2	14	9
3	0	39	1118	5	6	13	5
3	0	39	1119	5	2	14	10
0	0	39	1120	5	6	13	6
0	1	28	1342	3	1	4	1
1	1	25	311	22	1	2	1
1	1	25	312	22	2	2	1
1	1	25	1408	22	3	2	1
1	1	25	1409	22	4	2	1
1	1	25	1410	21	3	2	1
1	1	25	1411	21	4	2	1
1	1	25	1412	22	5	2	1
1	1	25	1413	22	6	2	1
1	1	25	1414	21	6	2	1
1	1	25	1415	22	1	2	7
1	1	25	1416	22	2	2	7
1	1	25	1417	22	3	2	7
1	1	25	1418	22	4	2	7
1	1	25	1419	21	3	2	7
1	1	25	1420	21	4	2	7
1	1	25	1421	22	5	2	7
1	1	25	1422	22	6	2	7
1	1	25	1423	21	6	2	7
1	1	24	1426	2	3	0	0
1	1	24	1427	2	4	0	0
1	1	24	1428	2	5	0	0
1	1	24	1429	2	6	0	0
1	1	24	1424	2	7	0	0
1	1	25	1430	22	1	2	2
1	1	25	1431	22	2	2	2
1	1	25	1432	22	3	2	2
1	1	25	1433	22	4	2	2
1	1	25	1434	21	3	2	2
1	1	25	1435	21	4	2	2
1	1	25	1436	22	5	2	2
1	1	25	1437	22	6	2	2
1	1	25	1438	21	6	2	2
1	1	25	1439	22	1	2	3
1	1	25	1440	22	2	2	3
1	1	25	1441	22	3	2	3
1	1	25	1442	22	4	2	3
1	1	25	1443	21	3	2	3
1	1	25	1444	21	4	2	3
1	1	25	1445	22	5	2	3
1	1	25	1446	22	6	2	3
1	1	25	2375	22	7	2	3
1	1	25	1448	22	1	2	4
1	1	25	1449	22	2	2	4
1	1	25	1450	22	3	2	4
1	1	25	1451	22	4	2	4
1	1	25	1452	21	3	2	4
1	1	25	1453	21	4	2	4
1	1	25	1454	22	5	2	4
1	1	25	1455	22	6	2	4
1	1	25	1456	21	6	2	4
1	1	25	1457	22	1	2	5
1	1	25	1458	22	2	2	5
1	1	25	1459	22	3	2	5
1	1	25	1460	22	4	2	5
1	1	25	1461	21	3	2	5
1	1	25	1462	21	4	2	5
1	1	25	1463	22	5	2	5
1	1	25	1464	22	6	2	5
1	1	25	1465	21	6	2	5
1	1	25	1466	22	1	2	6
1	1	25	1467	22	2	2	6
1	1	25	1468	22	3	2	6
1	1	25	1469	22	4	2	6
1	1	25	1470	21	3	2	6
1	1	25	1471	21	4	2	6
1	1	25	1472	22	5	2	6
1	1	25	1473	22	6	2	6
1	1	25	1474	21	6	2	6
1	1	28	1475	23	8	4	2
1	1	28	1476	23	9	4	2
1	1	28	1477	23	10	4	2
1	1	28	1478	24	9	4	2
1	1	28	1479	24	10	4	2
1	1	28	310	24	1	4	1
1	1	28	1480	24	2	4	1
1	1	28	1481	23	2	4	1
1	1	28	1482	24	3	4	1
1	1	28	1483	24	4	4	1
1	1	28	1484	24	5	4	1
1	1	28	1485	24	6	4	1
1	1	28	1486	23	4	4	1
1	1	28	1487	23	5	4	1
1	1	28	1488	24	7	4	1
1	1	28	1489	23	6	4	1
1	1	28	1490	23	7	4	1
1	1	28	1491	24	8	4	1
1	1	28	1492	23	8	4	1
1	1	28	1493	23	9	4	1
1	1	28	1494	23	10	4	1
1	1	28	1495	24	9	4	1
1	1	28	1496	24	10	4	1
1	1	28	1515	24	1	4	7
1	1	28	1516	24	2	4	7
1	1	28	1517	23	2	4	7
1	1	28	1518	24	3	4	7
1	1	28	1519	24	4	4	7
1	1	28	1520	24	5	4	7
1	1	28	1521	24	6	4	7
1	1	28	1522	23	4	4	7
1	1	28	1523	23	5	4	7
1	1	28	1524	24	7	4	7
1	1	28	1525	23	6	4	7
1	1	28	1526	23	7	4	7
1	1	28	1527	24	8	4	7
1	1	28	1528	23	8	4	7
1	1	28	1529	23	9	4	7
1	1	28	1530	23	10	4	7
1	1	28	1531	24	9	4	7
1	1	28	1532	24	10	4	7
1	1	28	1533	24	1	4	3
1	1	28	1534	24	2	4	3
1	1	28	1535	23	2	4	3
1	1	28	1536	24	3	4	3
1	1	28	1537	24	4	4	3
1	1	28	1538	24	5	4	3
1	1	28	1539	24	6	4	3
1	1	28	1540	23	4	4	3
1	1	28	1541	23	5	4	3
1	1	28	1542	24	7	4	3
1	1	28	1543	23	6	4	3
1	1	28	1544	23	7	4	3
1	1	28	1545	24	8	4	3
1	1	28	1546	23	8	4	3
1	1	28	1547	23	9	4	3
1	1	28	1548	23	10	4	3
1	1	28	1549	24	9	4	3
1	1	28	1550	24	10	4	3
1	1	28	1497	24	1	4	4
1	1	28	1498	24	2	4	4
1	1	28	1499	23	2	4	4
1	1	28	1500	24	3	4	4
1	1	28	1501	24	4	4	4
1	1	28	1502	24	5	4	4
1	1	28	1503	24	6	4	4
1	1	28	1504	23	4	4	4
1	1	28	1505	23	5	4	4
1	1	28	1506	24	7	4	4
1	1	28	1507	23	6	4	4
1	1	28	1508	23	7	4	4
1	1	28	1509	24	8	4	4
1	1	28	1510	23	8	4	4
1	1	28	1511	23	9	4	4
1	1	28	1512	23	10	4	4
1	1	28	1513	24	9	4	4
1	1	28	1514	24	10	4	4
1	1	28	1569	24	1	4	5
1	1	28	1570	24	2	4	5
1	1	28	1571	23	2	4	5
1	1	28	1572	24	3	4	5
1	1	28	1573	24	4	4	5
1	1	28	1574	24	5	4	5
1	1	28	1575	24	6	4	5
1	1	28	1576	23	4	4	5
1	1	28	1577	23	5	4	5
1	1	28	1578	24	7	4	5
1	1	28	1579	23	6	4	5
1	1	28	1580	23	7	4	5
1	1	28	1581	24	8	4	5
1	1	28	1582	23	8	4	5
1	1	28	1583	23	9	4	5
1	1	28	1584	23	10	4	5
1	1	28	1585	24	9	4	5
1	1	28	1586	24	10	4	5
1	1	28	1551	24	1	4	6
1	1	28	1552	24	2	4	6
1	1	28	1553	23	2	4	6
1	1	28	1554	24	3	4	6
1	1	28	1555	24	4	4	6
1	1	28	1556	24	5	4	6
1	1	28	1557	24	6	4	6
1	1	28	1558	23	4	4	6
1	1	28	1559	23	5	4	6
1	1	28	1560	24	7	4	6
1	1	28	1561	23	6	4	6
1	1	28	1562	23	7	4	6
1	1	28	1563	24	8	4	6
1	1	28	1564	23	8	4	6
1	1	28	1565	23	9	4	6
1	1	28	1566	23	10	4	6
1	1	28	1567	24	9	4	6
1	1	28	1568	24	10	4	6
1	1	26	1587	0	0	7	3
3	0	26	1589	0	0	7	2
5	0	25	1624	1	1	2	1
5	0	25	1625	1	2	2	1
5	0	25	1626	1	3	2	1
5	0	25	1627	1	4	2	1
5	0	25	1628	1	5	2	1
5	0	25	1629	1	6	2	1
5	0	25	1630	1	7	2	1
5	0	24	1631	2	1	0	0
5	0	26	1871	1	1	7	1
4	0	27	1633	10	1	0	0
4	0	25	1635	1	2	2	1
4	0	25	1636	1	3	2	1
4	0	25	1637	1	4	2	1
4	0	25	1638	1	5	2	1
4	0	25	1639	1	6	2	1
4	0	25	1640	1	7	2	1
4	0	25	1641	1	8	2	1
4	0	25	1642	1	9	2	1
4	0	24	1643	2	2	0	0
4	0	24	1644	2	3	0	0
4	0	24	1645	2	4	0	0
4	0	24	1646	2	5	0	0
4	0	24	1647	2	6	0	0
4	0	24	1648	2	7	0	0
4	0	24	1649	2	8	0	0
4	0	25	1650	1	1	2	2
4	0	25	1651	1	2	2	2
4	0	25	1652	1	3	2	2
4	0	25	1653	1	4	2	2
4	0	25	1654	1	5	2	2
4	0	25	1655	1	6	2	2
4	0	25	1656	1	7	2	2
4	0	25	1657	1	8	2	2
4	0	25	1658	1	9	2	2
4	0	25	1659	1	1	2	3
4	0	25	1660	1	2	2	3
4	0	25	1661	1	3	2	3
4	0	25	1662	1	4	2	3
4	0	25	1663	1	5	2	3
4	0	25	1664	1	6	2	3
4	0	25	1665	1	7	2	3
4	0	25	1666	1	8	2	3
4	0	25	1667	1	9	2	3
4	0	25	1668	1	1	2	4
4	0	25	1669	1	2	2	4
4	0	25	1670	1	3	2	4
4	0	25	1671	1	4	2	4
4	0	25	1672	1	5	2	4
4	0	25	1673	1	6	2	4
4	0	25	1674	1	7	2	4
4	0	25	1675	1	8	2	4
4	0	25	1676	1	9	2	4
4	0	25	1677	1	1	2	5
4	0	25	1678	1	2	2	5
4	0	25	1679	1	3	2	5
4	0	25	1680	1	4	2	5
4	0	25	1681	1	5	2	5
4	0	25	1682	1	6	2	5
4	0	25	1683	1	7	2	5
4	0	25	1684	1	8	2	5
4	0	25	1685	1	9	2	5
4	0	25	1686	1	1	2	6
4	0	25	1687	1	2	2	6
4	0	25	1688	1	3	2	6
4	0	25	1689	1	4	2	6
4	0	25	1690	1	5	2	6
4	0	25	1691	1	6	2	6
4	0	25	1692	1	7	2	6
4	0	25	1693	1	8	2	6
4	0	25	1694	1	9	2	6
4	0	25	1695	1	1	2	7
4	0	25	1696	1	2	2	7
4	0	25	1697	1	3	2	7
4	0	25	1698	1	4	2	7
4	0	25	1699	1	5	2	7
4	0	25	1700	1	6	2	7
4	0	25	1701	1	7	2	7
